,coef,std err,t,P>|t|,[0.025,0.975]
adrg_RV1,-23.4659,0.486,-48.273,0,-24.419,-22.513
adrg_FB1,-21.3474,4.301,-4.964,0,-29.777,-12.918
adrg_FP1,-20.3886,0.796,-25.619,0,-21.948,-18.829
adrg_FM2,-20.2022,0.8,-25.258,0,-21.77,-18.635
adrg_BC1,-20.1011,2.359,-8.52,0,-24.725,-15.477
adrg_FN1,-19.9287,0.401,-49.736,0,-20.714,-19.143
adrg_CW1,-19.8013,1.439,-13.761,0,-22.622,-16.981
adrg_BL1,-19.7641,5.267,-3.753,0,-30.087,-9.441
adrg_FE2,-19.5313,7.447,-2.623,0.009,-34.127,-4.936
adrg_FC3,-19.3704,1.121,-17.275,0,-21.568,-17.173
adrg_FD3,-19.2559,1.995,-9.653,0,-23.166,-15.346
adrg_FN2,-19.2241,1.109,-17.329,0,-21.398,-17.05
adrg_BE1,-19.2029,0.553,-34.723,0,-20.287,-18.119
adrg_FE3,-19.1493,2.487,-7.7,0,-24.023,-14.275
adrg_FC2,-19.1304,2.363,-8.095,0,-23.762,-14.498
adrg_BM1,-19.0872,0.782,-24.399,0,-20.62,-17.554
adrg_FM3,-19.0132,5.266,-3.61,0,-29.335,-8.691
adrg_FL2,-18.8898,1.928,-9.795,0,-22.67,-15.11
adrg_CV1,-18.8801,1.022,-18.481,0,-20.882,-16.878
adrg_IC1,-18.8762,0.264,-71.563,0,-19.393,-18.359
adrg_IR2,-18.8636,0.633,-29.803,0,-20.104,-17.623
adrg_JV5,-18.7673,5.266,-3.564,0,-29.089,-8.446
adrg_TS2,-18.7565,2.358,-7.954,0,-23.378,-14.135
adrg_FB3,-18.7489,0.833,-22.52,0,-20.381,-17.117
adrg_IC2,-18.7077,1.087,-17.212,0,-20.838,-16.577
adrg_FB4,-18.6616,4.302,-4.338,0,-27.093,-10.23
adrg_KC2,-18.6546,1.594,-11.705,0,-21.778,-15.531
adrg_FL1,-18.4704,1.876,-9.846,0,-22.147,-14.794
adrg_CT1,-18.4603,3.042,-6.069,0,-24.423,-12.498
adrg_IB1,-18.4565,0.518,-35.599,0,-19.473,-17.44
adrg_RA1,-18.4312,0.808,-22.821,0,-20.014,-16.848
adrg_TR1,-18.4214,5.266,-3.498,0,-28.743,-8.1
adrg_TS1,-18.4121,5.265,-3.497,0,-28.732,-8.092
adrg_BS2,-18.2051,0.894,-20.359,0,-19.958,-16.453
adrg_BX2,-18.1774,0.431,-42.172,0,-19.022,-17.333
adrg_FE1,-18.1281,0.73,-24.828,0,-19.559,-16.697
adrg_BS1,-18.1213,0.823,-22.009,0,-19.735,-16.508
adrg_CB3,-18.0045,0.211,-85.496,0,-18.417,-17.592
adrg_BU3,-17.9224,1.994,-8.989,0,-21.83,-14.014
adrg_IB2,-17.904,0.258,-69.332,0,-18.41,-17.398
adrg_DB2,-17.8896,2.817,-6.35,0,-23.411,-12.368
adrg_IR4,-17.8886,1.866,-9.587,0,-21.546,-14.231
adrg_CR1,-17.8326,2.153,-8.283,0,-22.052,-13.613
adrg_IE1,-17.7593,0.869,-20.439,0,-19.462,-16.056
adrg_FM1,-17.7577,0.948,-18.741,0,-19.615,-15.901
adrg_KE1,-17.7293,7.446,-2.381,0.017,-32.322,-3.136
adrg_IU2,-17.6976,0.383,-46.259,0,-18.447,-16.948
adrg_FQ2,-17.6753,1.417,-12.477,0,-20.452,-14.899
adrg_BD1,-17.6485,0.776,-22.736,0,-19.17,-16.127
adrg_GK1,-17.6271,3.334,-5.287,0,-24.161,-11.093
adrg_FB2,-17.6169,1.87,-9.42,0,-21.282,-13.951
adrg_IR3,-17.611,1.866,-9.44,0,-21.268,-13.954
adrg_CB4,-17.6102,0.346,-50.893,0,-18.288,-16.932
adrg_BX1,-17.5684,0.56,-31.378,0,-18.666,-16.471
adrg_JA1,-17.5628,0.568,-30.928,0,-18.676,-16.45
adrg_RD1,-17.5391,2.359,-7.435,0,-22.163,-12.916
adrg_FS3,-17.5049,3.332,-5.254,0,-24.035,-10.975
adrg_RC1,-17.4955,2.003,-8.734,0,-21.422,-13.569
adrg_GK3,-17.429,0.587,-29.705,0,-18.579,-16.279
adrg_BR1,-17.3869,0.268,-64.903,0,-17.912,-16.862
adrg_FQ1,-17.3455,0.399,-43.425,0,-18.128,-16.563
adrg_BE2,-17.3435,2.25,-7.709,0,-21.753,-12.934
adrg_FF1,-17.3059,2.818,-6.141,0,-22.83,-11.782
adrg_IF2,-17.2892,0.206,-83.773,0,-17.694,-16.885
adrg_FD2,-17.246,1.267,-13.607,0,-19.73,-14.762
adrg_IR1,-17.2272,0.882,-19.538,0,-18.955,-15.499
adrg_HK1,-17.2216,1.496,-11.508,0,-20.155,-14.289
adrg_GB1,-17.2106,0.243,-70.737,0,-17.687,-16.734
adrg_CB1,-17.2099,0.334,-51.463,0,-17.865,-16.554
adrg_BU1,-17.1998,0.987,-17.426,0,-19.134,-15.265
adrg_FD1,-17.1772,4.301,-3.993,0,-25.608,-8.747
adrg_EC2,-17.1078,0.942,-18.153,0,-18.955,-15.261
adrg_KR1,-17.0674,3.042,-5.61,0,-23.03,-11.105
adrg_GC1,-17.0437,0.554,-30.738,0,-18.13,-15.957
adrg_BB1,-17.0337,0.487,-34.964,0,-17.989,-16.079
adrg_TT3,-16.854,3.042,-5.54,0,-22.816,-10.892
adrg_ZC1,-16.8208,1.27,-13.244,0,-19.31,-14.331
adrg_GB2,-16.8171,0.272,-61.829,0,-17.35,-16.284
adrg_IC3,-16.7324,0.259,-64.582,0,-17.24,-16.225
adrg_GK2,-16.7221,0.52,-32.187,0,-17.74,-15.704
adrg_BY1,-16.6682,0.243,-68.676,0,-17.144,-16.193
adrg_GS1,-16.6328,0.271,-61.429,0,-17.164,-16.102
adrg_BC2,-16.6074,1.56,-10.646,0,-19.665,-13.55
adrg_BY2,-16.5877,0.358,-46.327,0,-17.29,-15.886
adrg_LG1,-16.5311,0.374,-44.206,0,-17.264,-15.798
adrg_BB2,-16.4664,0.259,-63.6,0,-16.974,-15.959
adrg_XR1,-16.3971,1.106,-14.824,0,-18.565,-14.229
adrg_IF1,-16.3845,0.229,-71.461,0,-16.834,-15.935
adrg_LM1,-16.3602,1.529,-10.7,0,-19.357,-13.363
adrg_BR2,-16.3594,0.182,-89.845,0,-16.716,-16.003
adrg_JA2,-16.3582,1.218,-13.43,0,-18.745,-13.971
adrg_YC2,-16.3406,4.301,-3.799,0,-24.771,-7.91
adrg_RU2,-16.2743,0.447,-36.405,0,-17.151,-15.398
adrg_IS2,-16.2642,0.805,-20.215,0,-17.841,-14.687
adrg_HD3,-16.2453,0.179,-90.699,0,-16.596,-15.894
adrg_GR1,-16.2141,0.265,-61.27,0,-16.733,-15.695
adrg_GT1,-16.1794,1.004,-16.123,0,-18.146,-14.213
adrg_KD1,-16.1524,0.528,-30.596,0,-17.187,-15.118
