,coef,std err,t,P>|t|,[0.025,0.975]
adrg_RV1,-29.934,4.324,-6.923,0,-38.409,-21.459
adrg_FB1,-27.8286,6.078,-4.578,0,-39.742,-15.915
adrg_FP1,-26.8735,4.369,-6.151,0,-35.437,-18.31
adrg_FM2,-26.6823,4.37,-6.106,0,-35.247,-18.118
adrg_BC1,-26.5933,4.901,-5.426,0,-36.199,-16.988
adrg_FN1,-26.4089,4.315,-6.121,0,-34.866,-17.952
adrg_BL1,-26.3073,6.794,-3.872,0,-39.623,-12.992
adrg_CW1,-26.2661,4.531,-5.797,0,-35.147,-17.385
adrg_FE2,-26.0808,8.593,-3.035,0.002,-42.924,-9.238
adrg_FC3,-25.8514,4.439,-5.824,0,-34.552,-17.151
adrg_FD3,-25.755,4.736,-5.439,0,-35.037,-16.473
adrg_FN2,-25.7102,4.437,-5.795,0,-34.406,-17.014
adrg_BE1,-25.6926,4.331,-5.932,0,-34.182,-17.203
adrg_FC2,-25.6786,4.9,-5.241,0,-35.282,-16.076
adrg_FE3,-25.6324,4.964,-5.164,0,-35.361,-15.904
adrg_BM1,-25.5766,4.367,-5.857,0,-34.135,-17.018
adrg_FM3,-25.5316,6.794,-3.758,0,-38.848,-12.216
adrg_FL2,-25.3771,4.709,-5.389,0,-34.606,-16.148
adrg_IC1,-25.3508,4.304,-5.89,0,-33.787,-16.914
adrg_CV1,-25.3474,4.417,-5.739,0,-34.004,-16.691
adrg_IR2,-25.3314,4.343,-5.833,0,-33.844,-16.819
adrg_FB3,-25.2198,4.376,-5.763,0,-33.796,-16.643
adrg_TS2,-25.218,4.901,-5.146,0,-34.824,-15.612
adrg_IC2,-25.1885,4.432,-5.684,0,-33.874,-16.503
adrg_FB4,-25.1542,6.078,-4.138,0,-37.068,-13.241
adrg_KC2,-25.1537,4.581,-5.491,0,-34.133,-16.175
adrg_FL1,-25.0483,4.683,-5.349,0,-34.226,-15.87
adrg_JV5,-25.0392,6.797,-3.684,0,-38.361,-11.717
adrg_CT1,-24.9288,5.264,-4.736,0,-35.246,-14.611
adrg_RA1,-24.924,4.371,-5.701,0,-33.492,-16.356
adrg_IB1,-24.9152,4.327,-5.758,0,-33.396,-16.434
adrg_TS1,-24.8786,6.795,-3.661,0,-38.197,-11.56
adrg_TR1,-24.8673,6.796,-3.659,0,-38.187,-11.548
adrg_BS2,-24.6717,4.389,-5.621,0,-33.274,-16.069
adrg_BX2,-24.6406,4.318,-5.706,0,-33.105,-16.177
adrg_FE1,-24.6194,4.357,-5.65,0,-33.16,-16.079
adrg_BS1,-24.59,4.375,-5.621,0,-33.165,-16.015
adrg_CB3,-24.4877,4.301,-5.693,0,-32.918,-16.057
adrg_BU3,-24.3923,4.737,-5.15,0,-33.676,-15.109
adrg_DB2,-24.3889,5.137,-4.748,0,-34.456,-14.321
adrg_IB2,-24.3808,4.304,-5.665,0,-32.816,-15.945
adrg_IR4,-24.3609,4.684,-5.201,0,-33.542,-15.18
