,coef,std err,t,P>|t|,[0.025,0.975]
Intercept,   29.1043,    4.650,    6.259, 0.000,   19.991,   38.218
NL,    0.5393,    0.010,   52.885, 0.000,    0.519,    0.559
SJZYTS,    0.0766,    0.003,   26.253, 0.000,    0.071,    0.082
medicine,   -0.7050,    0.073,   -9.635, 0.000,   -0.848,   -0.562
grade,    0.1152,    0.056,    2.072, 0.038,    0.006,    0.224
JBCOUNT,   -0.2412,    0.008,  -30.279, 0.000,   -0.257,   -0.226
SSCOUNT,   -0.5620,    0.023,  -24.445, 0.000,   -0.607,   -0.517
adrg_AG1,-6.539e-13,  1.4e-13,   -4.656, 0.000,-9.29e-13,-3.79e-13
adrg_AG2, 1.737e-12,  3.8e-13,    4.568, 0.000, 9.92e-13, 2.48e-12
adrg_AH1,  -20.6854,    5.557,   -3.723, 0.000,  -31.577,   -9.794
adrg_BB1,  -27.0224,    4.696,   -5.754, 0.000,  -36.227,  -17.818
adrg_BB2,  -26.5255,    4.656,   -5.697, 0.000,  -35.651,  -17.400
adrg_BC1,  -28.9498,    5.556,   -5.211, 0.000,  -39.839,  -18.061
adrg_BC2,  -24.9554,    5.021,   -4.970, 0.000,  -34.796,  -15.115
adrg_BD1,  -27.0072,    4.733,   -5.707, 0.000,  -36.283,  -17.731
adrg_BE1,  -28.9492,    4.722,   -6.131, 0.000,  -38.204,  -19.694
adrg_BE2,  -31.1745,    5.692,   -5.476, 0.000,  -42.332,  -20.017
adrg_BJ1,  -26.6026,    4.681,   -5.683, 0.000,  -35.777,  -17.429
adrg_BK1,  -24.0660,    4.691,   -5.130, 0.000,  -33.261,  -14.871
adrg_BL1,  -26.8783,    5.300,   -5.071, 0.000,  -37.266,  -16.490
adrg_BM1,  -27.2430,    4.731,   -5.758, 0.000,  -36.516,  -17.970
adrg_BR1,  -23.7638,    4.654,   -5.106, 0.000,  -32.886,  -14.642
adrg_BR2,  -23.7101,    4.650,   -5.099, 0.000,  -32.824,  -14.597
adrg_BR3,  -20.2740,    4.680,   -4.332, 0.000,  -29.446,  -11.102
adrg_BS1,  -19.2640,    4.700,   -4.099, 0.000,  -28.476,  -10.052
adrg_BS2,  -27.4973,    4.786,   -5.746, 0.000,  -36.877,  -18.118
adrg_BT1,  -18.5904,    4.664,   -3.986, 0.000,  -27.733,   -9.448
adrg_BT2,  -16.7235,    4.673,   -3.579, 0.000,  -25.882,   -7.565
adrg_BU1,  -24.7128,    4.718,   -5.238, 0.000,  -33.960,  -15.466
adrg_BU2,  -23.7624,    4.728,   -5.026, 0.000,  -33.028,  -14.497
adrg_BU3,  -19.3642,    5.041,   -3.841, 0.000,  -29.245,   -9.483
adrg_BV1,  -18.9037,    4.653,   -4.062, 0.000,  -28.024,   -9.783
adrg_BV2,  -22.5626,    4.833,   -4.669, 0.000,  -32.035,  -13.090
