,coef,std err,t,P>|t|,[0.025,0.975]
adrg_BV3,  -22.9537,    4.693,   -4.891, 0.000,  -32.152,  -13.755
adrg_BW1,  -21.4930,    4.955,   -4.338, 0.000,  -31.204,  -11.782
adrg_BW2,  -16.7553,    4.875,   -3.437, 0.001,  -26.310,   -7.201
adrg_BX1,  -23.2071,    4.690,   -4.948, 0.000,  -32.400,  -14.015
adrg_BX2,  -23.5987,    4.662,   -5.062, 0.000,  -32.735,  -14.462
adrg_BY1,  -24.9232,    4.657,   -5.352, 0.000,  -34.050,  -15.796
adrg_BY2,  -24.7472,    4.671,   -5.298, 0.000,  -33.903,  -15.592
adrg_BZ1,  -20.3283,    4.682,   -4.342, 0.000,  -29.505,  -11.152
adrg_CB1,  -26.7872,    4.659,   -5.749, 0.000,  -35.920,  -17.655
adrg_CB2,  -24.9929,    4.779,   -5.230, 0.000,  -34.359,  -15.627
adrg_CB3,  -28.4105,    4.654,   -6.104, 0.000,  -37.533,  -19.288
adrg_CB4,  -27.1681,    4.680,   -5.805, 0.000,  -36.341,  -17.995
adrg_CC1,  -21.3172,    4.712,   -4.524, 0.000,  -30.552,  -12.082
adrg_CD1,  -24.0726,    4.794,   -5.021, 0.000,  -33.469,  -14.676
adrg_CD2,  -24.5342,    4.661,   -5.264, 0.000,  -33.670,  -15.399
adrg_CJ1,  -23.6329,    4.920,   -4.804, 0.000,  -33.275,  -13.990
adrg_CR1,  -23.3683,    4.838,   -4.830, 0.000,  -32.851,  -13.886
adrg_CS1,  -22.6803,    4.731,   -4.794, 0.000,  -31.954,  -13.407
adrg_CT1,  -25.6554,    6.149,   -4.172, 0.000,  -37.707,  -13.603
adrg_CU1,  -15.1194,    4.732,   -3.195, 0.001,  -24.395,   -5.844
adrg_CV1,  -23.6943,    4.819,   -4.917, 0.000,  -33.140,  -14.249
adrg_CW1,  -26.6514,    5.002,   -5.329, 0.000,  -36.454,  -16.848
adrg_CX1,  -24.9996,    4.883,   -5.120, 0.000,  -34.569,  -15.430
adrg_CZ1,  -18.8716,    4.665,   -4.045, 0.000,  -28.016,   -9.727
adrg_DA1,  -21.5788,    4.716,   -4.576, 0.000,  -30.821,  -12.337
adrg_DB1,  -24.0941,    4.891,   -4.926, 0.000,  -33.680,  -14.508
adrg_DB2,  -26.0454,    5.300,   -4.915, 0.000,  -36.432,  -15.658
adrg_DC1,  -19.9517,    4.666,   -4.276, 0.000,  -29.097,  -10.806
adrg_DC2,  -16.0729,    4.676,   -3.437, 0.001,  -25.239,   -6.907
adrg_DD1,  -20.9656,    4.675,   -4.485, 0.000,  -30.128,  -11.803
adrg_DD2,  -18.7657,    4.653,   -4.033, 0.000,  -27.886,   -9.645
adrg_DE1,  -22.4292,    4.659,   -4.815, 0.000,  -31.560,  -13.298
adrg_DE2,  -20.8338,    4.656,   -4.474, 0.000,  -29.960,  -11.708
adrg_DF1,  -23.9195,    5.065,   -4.722, 0.000,  -33.847,  -13.992
adrg_DG1,  -21.4937,    4.763,   -4.513, 0.000,  -30.829,  -12.158
adrg_DG2,  -22.3666,    4.660,   -4.800, 0.000,  -31.500,  -13.233
adrg_DG3,  -23.9503,    4.708,   -5.087, 0.000,  -33.178,  -14.722
adrg_DJ1,  -18.8336,    4.955,   -3.801, 0.000,  -28.545,   -9.122
adrg_DK1,  -22.2658,    5.244,   -4.246, 0.000,  -32.544,  -11.988
adrg_DL1,  -19.2178,    4.838,   -3.972, 0.000,  -28.700,   -9.736
adrg_DR1,  -22.6434,    4.686,   -4.832, 0.000,  -31.827,  -13.460
adrg_DS1,  -23.1229,    4.663,   -4.959, 0.000,  -32.262,  -13.984
adrg_DT1,  -14.5350,    4.649,   -3.126, 0.002,  -23.647,   -5.423
adrg_DT2,  -12.6150,    4.655,   -2.710, 0.007,  -21.739,   -3.491
adrg_DU1,  -13.3393,    4.687,   -2.846, 0.004,  -22.525,   -4.153
adrg_DV1,  -18.2907,    4.660,   -3.925, 0.000,  -27.424,   -9.157
adrg_DW1,  -23.6670,    4.664,   -5.074, 0.000,  -32.809,  -14.525
adrg_DX1,  -12.4522,    4.661,   -2.671, 0.008,  -21.588,   -3.316
adrg_DZ1,  -17.7088,    4.664,   -3.797, 0.000,  -26.851,   -8.567
adrg_EB1,  -25.8347,    4.660,   -5.544, 0.000,  -34.968,  -16.701
adrg_EB2,  -24.8550,    4.843,   -5.132, 0.000,  -34.348,  -15.362
adrg_EC1,  -18.1234,    4.654,   -3.894, 0.000,  -27.245,   -9.002
adrg_EC2,  -23.5029,    4.749,   -4.949, 0.000,  -32.812,  -14.194
adrg_EJ1,  -14.8192,    4.651,   -3.186, 0.001,  -23.935,   -5.703
adrg_EK1,  -19.3256,    4.681,   -4.129, 0.000,  -28.500,  -10.151
adrg_EK2,  -16.9776,    4.681,   -3.627, 0.000,  -26.153,   -7.802
adrg_ER1,  -20.5532,    4.652,   -4.418, 0.000,  -29.672,  -11.435
adrg_ER2,  -18.1839,    4.753,   -3.826, 0.000,  -27.499,   -8.869
adrg_ER3,  -17.8302,    4.657,   -3.829, 0.000,  -26.958,   -8.702
adrg_ES1,  -14.6577,    4.648,   -3.153, 0.002,  -23.768,   -5.547
adrg_ET1,  -13.9199,    4.649,   -2.994, 0.003,  -23.032,   -4.808
adrg_EU1,  -20.7901,    4.661,   -4.460, 0.000,  -29.926,  -11.655
adrg_EV1,  -17.9313,    4.669,   -3.840, 0.000,  -27.083,   -8.780
adrg_EV2,  -16.5531,    4.697,   -3.524, 0.000,  -25.759,   -7.347
adrg_EW1,  -15.0192,    4.681,   -3.208, 0.001,  -24.194,   -5.844
adrg_EW2,  -14.6290,    4.657,   -3.141, 0.002,  -23.757,   -5.501
adrg_EX1,  -16.4918,    4.652,   -3.545, 0.000,  -25.610,   -7.373
adrg_EX2,  -16.8896,    4.649,   -3.633, 0.000,  -26.002,   -7.777
adrg_EZ1,  -13.6092,    4.654,   -2.924, 0.003,  -22.731,   -4.488
adrg_FB1,  -26.9080,    5.693,   -4.726, 0.000,  -38.067,  -15.750
adrg_FB2,  -28.2094,    4.824,   -5.848, 0.000,  -37.664,  -18.755
adrg_FB3,  -28.1458,    4.765,   -5.906, 0.000,  -37.486,  -18.806
adrg_FB4,  -27.4802,    5.879,   -4.674, 0.000,  -39.003,  -15.957
adrg_FC1,  -28.8572,    9.296,   -3.104, 0.002,  -47.078,  -10.637
adrg_FC2,  -29.1355,    5.065,   -5.752, 0.000,  -39.064,  -19.207
adrg_FC3,  -29.3261,    4.855,   -6.041, 0.000,  -38.841,  -19.811
adrg_FD1,  -20.5616,    9.297,   -2.212, 0.027,  -38.783,   -2.341
adrg_FD2,  -27.6570,    4.855,   -5.697, 0.000,  -37.172,  -18.141
adrg_FD3,  -28.5817,    5.156,   -5.543, 0.000,  -38.688,  -18.475
adrg_FD4,  -25.2050,    4.955,   -5.087, 0.000,  -34.917,  -15.493
adrg_FE1,  -28.0523,    4.734,   -5.926, 0.000,  -37.330,  -18.775
adrg_FE2,  -29.7629,    9.296,   -3.202, 0.001,  -47.983,  -11.543
adrg_FE3,  -29.8029,    5.880,   -5.068, 0.000,  -41.328,  -18.278
adrg_FE4,  -30.8596,    7.349,   -4.199, 0.000,  -45.263,  -16.456
adrg_FF1,  -29.7255,    9.296,   -3.198, 0.001,  -47.946,  -11.505
adrg_FF2,  -25.6027,    4.900,   -5.225, 0.000,  -35.206,  -16.000
adrg_FF3,  -25.6841,    4.666,   -5.505, 0.000,  -34.829,  -16.539
adrg_FF4, 1.121e-13, 4.44e-14,    2.527, 0.011, 2.52e-14, 1.99e-13
adrg_FJ1,  -21.5423,    4.819,   -4.470, 0.000,  -30.988,  -12.097
adrg_FK1,  -22.9421,    4.737,   -4.843, 0.000,  -32.227,  -13.657
adrg_FL1,  -29.1657,    4.883,   -5.973, 0.000,  -38.735,  -19.596
adrg_FL2,  -29.3805,    5.244,   -5.603, 0.000,  -39.658,  -19.103
adrg_FM1,  -26.9616,    4.703,   -5.732, 0.000,  -36.180,  -17.743
adrg_FM2,  -29.2634,    4.739,   -6.174, 0.000,  -38.553,  -19.974
adrg_FM3,  -27.9437,    5.197,   -5.377, 0.000,  -38.129,  -17.758
adrg_FN1,  -30.0717,    4.679,   -6.426, 0.000,  -39.243,  -20.900
adrg_FN2,  -29.4155,    4.838,   -6.080, 0.000,  -38.898,  -19.933
adrg_FN3,  -28.0694,    4.855,   -5.781, 0.000,  -37.586,  -18.553
adrg_FP1,  -30.9440,    4.786,   -6.466, 0.000,  -40.324,  -21.564
adrg_FQ1,  -26.2825,    4.667,   -5.632, 0.000,  -35.429,  -17.136
adrg_FQ2,  -26.8283,    4.811,   -5.576, 0.000,  -36.259,  -17.398
adrg_FQ3,  -27.6849,    5.197,   -5.327, 0.000,  -37.871,  -17.499
adrg_FR1,  -24.3336,    4.674,   -5.206, 0.000,  -33.494,  -15.173
adrg_FR2,  -21.4449,    4.655,   -4.607, 0.000,  -30.568,  -12.322
adrg_FS1,  -21.9789,    4.664,   -4.712, 0.000,  -31.121,  -12.837
adrg_FS2,  -22.8645,    4.651,   -4.916, 0.000,  -31.980,  -13.749
adrg_FS3,  -28.8413,    5.693,   -5.066, 0.000,  -39.999,  -17.684
adrg_FT1,   -4.1762,    5.157,   -0.810, 0.418,  -14.283,    5.931
adrg_FT2,  -22.5557,    4.655,   -4.846, 0.000,  -31.679,  -13.432
adrg_FU1,  -19.8673,    4.669,   -4.255, 0.000,  -29.018,  -10.716
adrg_FU2,  -23.4338,    4.712,   -4.973, 0.000,  -32.670,  -14.198
adrg_FU3,  -24.5819,    4.672,   -5.262, 0.000,  -33.738,  -15.425
adrg_FV1,  -20.8025,    4.791,   -4.342, 0.000,  -30.193,  -11.412
adrg_FV2,  -23.2700,    4.785,   -4.863, 0.000,  -32.649,  -13.891
adrg_FV3,  -24.1422,    4.970,   -4.858, 0.000,  -33.882,  -14.402
adrg_FW1,  -22.2984,    4.704,   -4.740, 0.000,  -31.519,  -13.078
adrg_FW2,  -22.7978,    4.679,   -4.872, 0.000,  -31.968,  -13.627
adrg_FW3,  -19.0979,    4.689,   -4.073, 0.000,  -28.288,   -9.907
adrg_FZ1,  -17.5316,    4.657,   -3.765, 0.000,  -26.659,   -8.404
adrg_GB1,  -27.5974,    4.658,   -5.924, 0.000,  -36.728,  -18.467
adrg_GB2,  -27.1778,    4.657,   -5.835, 0.000,  -36.306,  -18.049
adrg_GB3,  -23.7702,    4.668,   -5.093, 0.000,  -32.919,  -14.622
adrg_GC1,  -26.5823,    4.675,   -5.686, 0.000,  -35.745,  -17.420
adrg_GC2,  -24.7468,    4.650,   -5.321, 0.000,  -33.862,  -15.632
adrg_GC3,  -25.1908,    4.689,   -5.372, 0.000,  -34.382,  -16.000
adrg_GD1,  -19.7783,    4.653,   -4.250, 0.000,  -28.899,  -10.658
adrg_GD2,  -21.7739,    4.658,   -4.675, 0.000,  -30.903,  -12.645
adrg_GE1,  -26.6433,    4.661,   -5.717, 0.000,  -35.778,  -17.508
adrg_GE2,  -26.6453,    4.758,   -5.600, 0.000,  -35.971,  -17.319
adrg_GF1,  -22.4666,    4.797,   -4.683, 0.000,  -31.870,  -13.064
adrg_GJ1,  -25.5530,    4.667,   -5.475, 0.000,  -34.701,  -16.405
adrg_GK1,  -26.6852,    5.065,   -5.268, 0.000,  -36.613,  -16.757
adrg_GK2,  -27.5915,    4.666,   -5.913, 0.000,  -36.737,  -18.446
adrg_GK3,  -27.8993,    4.685,   -5.955, 0.000,  -37.082,  -18.716
adrg_GR1,  -26.1306,    4.655,   -5.614, 0.000,  -35.253,  -17.008
adrg_GS1,  -24.6571,    4.655,   -5.297, 0.000,  -33.781,  -15.533
adrg_GT1,  -24.7648,    4.783,   -5.178, 0.000,  -34.139,  -15.391
adrg_GU1,  -19.4692,    4.650,   -4.187, 0.000,  -28.583,  -10.355
adrg_GU2,  -11.7472,    4.654,   -2.524, 0.012,  -20.868,   -2.626
adrg_GV1,  -20.7466,    4.715,   -4.400, 0.000,  -29.988,  -11.505
adrg_GV2,  -25.8495,    4.670,   -5.536, 0.000,  -35.002,  -16.697
adrg_GW1,  -19.3466,    4.653,   -4.158, 0.000,  -28.466,  -10.228
adrg_GX1,  -21.3439,    4.690,   -4.551, 0.000,  -30.535,  -12.152
adrg_GZ1,  -23.8146,    4.651,   -5.120, 0.000,  -32.931,  -14.698
adrg_HB1,  -26.0996,    4.711,   -5.541, 0.000,  -35.332,  -16.867
adrg_HC1,  -23.7484,    4.820,   -4.927, 0.000,  -33.195,  -14.302
adrg_HC2,  -25.0650,    4.745,   -5.282, 0.000,  -34.366,  -15.764
adrg_HC3,  -23.6272,    4.670,   -5.060, 0.000,  -32.779,  -14.475
adrg_HC4,  -24.0584,    4.673,   -5.148, 0.000,  -33.217,  -14.899
adrg_HD1,  -24.7328,    4.883,   -5.065, 0.000,  -34.303,  -15.163
adrg_HD2,  -24.6144,    4.712,   -5.223, 0.000,  -33.850,  -15.378
adrg_HD3,  -26.3750,    4.650,   -5.672, 0.000,  -35.490,  -17.260
adrg_HD4,  -26.2198,    4.726,   -5.548, 0.000,  -35.483,  -16.957
adrg_HJ1,  -24.5726,    4.680,   -5.250, 0.000,  -33.746,  -15.399
adrg_HK1,  -26.6915,    4.778,   -5.587, 0.000,  -36.056,  -17.327
adrg_HK2,  -25.3158,    4.667,   -5.424, 0.000,  -34.463,  -16.168
adrg_HL1,  -22.5016,    4.709,   -4.778, 0.000,  -31.732,  -13.271
adrg_HR1,  -24.5868,    4.658,   -5.278, 0.000,  -33.717,  -15.457
adrg_HS1,  -24.3954,    4.697,   -5.194, 0.000,  -33.601,  -15.190
adrg_HS2,  -24.3867,    4.684,   -5.207, 0.000,  -33.566,  -15.207
adrg_HT1,  -22.6296,    4.706,   -4.809, 0.000,  -31.853,  -13.406
adrg_HT2,  -19.8137,    4.653,   -4.258, 0.000,  -28.934,  -10.693
adrg_HU1,  -17.8428,    4.653,   -3.835, 0.000,  -26.963,   -8.723
adrg_HV1,  -22.8373,    4.655,   -4.905, 0.000,  -31.962,  -13.713
adrg_HV2,  -21.7221,    4.875,   -4.456, 0.000,  -31.277,  -12.167
adrg_HZ1,  -20.7837,    4.663,   -4.457, 0.000,  -29.923,  -11.644
adrg_HZ2,  -19.5638,    4.659,   -4.199, 0.000,  -28.695,  -10.432
adrg_HZ3,  -23.6632,    4.815,   -4.914, 0.000,  -33.101,  -14.226
adrg_IB1,  -27.9506,    4.673,   -5.981, 0.000,  -37.109,  -18.792
adrg_IB2,  -28.5038,    4.654,   -6.124, 0.000,  -37.626,  -19.382
adrg_IC1,  -29.4790,    4.657,   -6.330, 0.000,  -38.607,  -20.351
adrg_IC2,  -29.0158,    4.869,   -5.960, 0.000,  -38.558,  -19.474
adrg_IC3,  -27.4023,    4.657,   -5.884, 0.000,  -36.531,  -18.274
adrg_ID1,  -21.4851,    9.296,   -2.311, 0.021,  -39.706,   -3.265
adrg_ID2,  -26.6637,    4.665,   -5.716, 0.000,  -35.807,  -17.521
adrg_IE1,  -27.8615,    4.781,   -5.828, 0.000,  -37.232,  -18.491
adrg_IF1,  -27.1604,    4.654,   -5.836, 0.000,  -36.282,  -18.039
adrg_IF2,  -27.9156,    4.652,   -6.001, 0.000,  -37.034,  -18.798
adrg_IG1,  -24.6755,    4.658,   -5.298, 0.000,  -33.805,  -15.546
adrg_IH1,  -25.9040,    4.725,   -5.483, 0.000,  -35.164,  -16.644
adrg_IH2,  -24.0012,    4.682,   -5.126, 0.000,  -33.178,  -14.825
adrg_IH3,  -25.0959,    4.700,   -5.339, 0.000,  -34.309,  -15.883
adrg_IJ1,  -24.5077,    4.891,   -5.011, 0.000,  -34.094,  -14.922
adrg_IK1,  -11.4424,    6.150,   -1.861, 0.063,  -23.496,    0.611
adrg_IR1,  -24.6559,    4.778,   -5.161, 0.000,  -34.020,  -15.292
adrg_IR2,  -27.9266,    4.702,   -5.939, 0.000,  -37.142,  -18.711
adrg_IR3,  -27.4393,    5.450,   -5.035, 0.000,  -38.122,  -16.757
adrg_IR4,  -28.7183,    4.942,   -5.811, 0.000,  -38.404,  -19.033
adrg_IR5,  -20.2490,    5.450,   -3.715, 0.000,  -30.932,   -9.566
adrg_IS1,  -22.6104,    4.670,   -4.841, 0.000,  -31.764,  -13.457
adrg_IS2,  -23.7916,    4.718,   -5.043, 0.000,  -33.038,  -14.545
adrg_IS3,  -25.2562,    4.668,   -5.411, 0.000,  -34.405,  -16.107
adrg_IT1,  -19.1817,    4.769,   -4.022, 0.000,  -28.528,   -9.835
adrg_IT2,  -21.5390,    4.657,   -4.625, 0.000,  -30.667,  -12.411
adrg_IT3,  -20.5851,    4.757,   -4.327, 0.000,  -29.909,  -11.261
adrg_IU1,  -21.9648,    4.658,   -4.715, 0.000,  -31.095,  -12.834
adrg_IU2,  -23.1875,    4.654,   -4.982, 0.000,  -32.310,  -14.065
adrg_IU3,  -25.4126,    4.708,   -5.397, 0.000,  -34.641,  -16.185
adrg_IX1,  -27.0120,    7.349,   -3.676, 0.000,  -41.416,  -12.608
adrg_IZ1,  -22.9207,    4.665,   -4.913, 0.000,  -32.064,  -13.777
adrg_IZ2,  -17.9976,    4.861,   -3.702, 0.000,  -27.525,   -8.470
adrg_JA1,  -27.8443,    4.695,   -5.930, 0.000,  -37.047,  -18.642
adrg_JA2,  -28.0690,    4.891,   -5.739, 0.000,  -37.655,  -18.483
adrg_JB1,  -21.8038,    5.451,   -4.000, 0.000,  -32.487,  -11.121
adrg_JB2,  -22.3901,    4.682,   -4.782, 0.000,  -31.567,  -13.214
adrg_JC1,  -21.9729,    4.804,   -4.574, 0.000,  -31.389,  -12.557
adrg_JD1,  -23.6731,    4.850,   -4.881, 0.000,  -33.178,  -14.168
adrg_JD2,  -21.6465,    4.681,   -4.625, 0.000,  -30.820,  -12.473
adrg_JE1,  -19.1045,    4.883,   -3.912, 0.000,  -28.676,   -9.533
adrg_JJ1,  -19.1823,    4.659,   -4.117, 0.000,  -28.314,  -10.050
adrg_JR1,  -26.8056,    4.705,   -5.697, 0.000,  -36.027,  -17.584
adrg_JR2,  -25.7038,    5.197,   -4.946, 0.000,  -35.889,  -15.518
adrg_JS1,  -22.2839,    4.669,   -4.773, 0.000,  -31.435,  -13.133
adrg_JT1,  -22.4560,    4.710,   -4.767, 0.000,  -31.688,  -13.224
adrg_JU1,  -19.6701,    4.659,   -4.222, 0.000,  -28.802,  -10.538
adrg_JV1,  -21.4064,    4.662,   -4.592, 0.000,  -30.544,  -12.269
adrg_JV2,  -20.8006,    4.681,   -4.443, 0.000,  -29.976,  -11.625
adrg_JV3,  -12.1478,    4.656,   -2.609, 0.009,  -21.274,   -3.022
adrg_JV4,  -19.7511,    4.667,   -4.232, 0.000,  -28.898,  -10.605
adrg_JV5,  -28.4901,    6.573,   -4.334, 0.000,  -41.373,  -15.607
adrg_KB1,  -17.3328,    5.556,   -3.120, 0.002,  -28.223,   -6.443
adrg_KC1,  -26.9316,    4.767,   -5.650, 0.000,  -36.275,  -17.588
adrg_KC2,  -28.5147,    4.855,   -5.874, 0.000,  -38.030,  -19.000
adrg_KD1,  -27.2033,    4.698,   -5.790, 0.000,  -36.411,  -17.995
adrg_KD2,  -26.0914,    4.819,   -5.414, 0.000,  -35.538,  -16.645
adrg_KE1,  -30.5097,    9.296,   -3.282, 0.001,  -48.729,  -12.290
adrg_KF1,  -20.4963,    5.066,   -4.046, 0.000,  -30.425,  -10.568
adrg_KJ1,  -25.6590,    5.368,   -4.780, 0.000,  -36.179,  -15.139
adrg_KR1,  -28.5230,    4.984,   -5.722, 0.000,  -38.292,  -18.754
adrg_KS1,  -22.9865,    4.652,   -4.941, 0.000,  -32.104,  -13.869
adrg_KT1,  -23.2587,    4.674,   -4.977, 0.000,  -32.419,  -14.098
adrg_KU1,  -20.4344,    5.002,   -4.085, 0.000,  -30.238,  -10.631
adrg_KV1,  -21.7340,    4.942,   -4.398, 0.000,  -31.420,  -12.048
adrg_KZ1,  -23.8789,    4.715,   -5.064, 0.000,  -33.121,  -14.637
adrg_LA1,  -24.7588,    4.675,   -5.296, 0.000,  -33.922,  -15.596
adrg_LB1,  -22.7001,    4.662,   -4.870, 0.000,  -31.837,  -13.564
adrg_LC1,  -23.8083,    4.661,   -5.108, 0.000,  -32.943,  -14.673
adrg_LD1,  -22.2156,    4.687,   -4.740, 0.000,  -31.402,  -13.029
adrg_LE1,  -23.6596,    4.660,   -5.078, 0.000,  -32.792,  -14.527
adrg_LF1,  -21.2017,    4.670,   -4.540, 0.000,  -30.354,  -12.049
adrg_LG1,  -25.4319,    4.670,   -5.446, 0.000,  -34.585,  -16.278
adrg_LJ1,  -21.3503,    4.665,   -4.577, 0.000,  -30.493,  -12.208
adrg_LK1,  -20.6449,    4.704,   -4.389, 0.000,  -29.865,  -11.425
adrg_LK2,  -18.3738,    4.695,   -3.914, 0.000,  -27.575,   -9.172
adrg_LM1,  -22.3034,    4.712,   -4.733, 0.000,  -31.540,  -13.067
adrg_LR1,  -23.1633,    4.654,   -4.977, 0.000,  -32.285,  -14.042
adrg_LS1,  -21.5203,    4.655,   -4.623, 0.000,  -30.644,  -12.397
adrg_LS2,  -22.5348,    4.739,   -4.755, 0.000,  -31.823,  -13.246
adrg_LT1,  -28.7775,    9.297,   -3.095, 0.002,  -46.999,  -10.556
adrg_LU1,  -13.3702,    4.652,   -2.874, 0.004,  -22.489,   -4.252
adrg_LV1,  -18.6090,    4.663,   -3.990, 0.000,  -27.749,   -9.469
adrg_LW1,  -20.9011,    4.652,   -4.493, 0.000,  -30.020,  -11.783
adrg_LX1,  -13.9639,    4.752,   -2.938, 0.003,  -23.279,   -4.649
adrg_LZ1,  -21.4995,    4.672,   -4.602, 0.000,  -30.656,  -12.343
adrg_MA1,  -24.0952,    4.753,   -5.070, 0.000,  -33.411,  -14.780
adrg_MB1,  -21.2588,    4.671,   -4.551, 0.000,  -30.414,  -12.103
adrg_MC1,  -22.8491,    4.663,   -4.900, 0.000,  -31.989,  -13.709
adrg_MD1,  -19.7374,    4.722,   -4.180, 0.000,  -28.992,  -10.482
adrg_MJ1,  -21.4162,    4.669,   -4.587, 0.000,  -30.567,  -12.266
adrg_MK1,  -24.4416,    5.244,   -4.661, 0.000,  -34.720,  -14.164
adrg_MR1,  -24.0534,    4.698,   -5.120, 0.000,  -33.261,  -14.846
adrg_MS1,  -12.4438,    4.660,   -2.670, 0.008,  -21.577,   -3.310
adrg_MZ1,  -18.1013,    4.660,   -3.884, 0.000,  -27.235,   -8.968
adrg_NA1,  -25.5364,    4.699,   -5.435, 0.000,  -34.746,  -16.327
adrg_NA2,  -26.3286,    4.693,   -5.611, 0.000,  -35.526,  -17.131
adrg_NB1,  -24.7337,    4.664,   -5.303, 0.000,  -33.875,  -15.592
adrg_NC1,  -24.8492,    4.652,   -5.342, 0.000,  -33.966,  -15.732
adrg_ND1,  -25.1778,    4.652,   -5.412, 0.000,  -34.296,  -16.059
adrg_NE1,  -22.8535,    4.652,   -4.912, 0.000,  -31.972,  -13.735
adrg_NJ1,  -24.2576,    4.751,   -5.105, 0.000,  -33.570,  -14.945
adrg_NR1,  -25.1186,    4.670,   -5.379, 0.000,  -34.272,  -15.966
adrg_NS1,  -12.1466,    4.662,   -2.606, 0.009,  -21.283,   -3.010
adrg_NZ1,  -22.3633,    4.655,   -4.804, 0.000,  -31.488,  -13.239
adrg_OB1,  -24.3075,    4.665,   -5.211, 0.000,  -33.450,  -15.165
adrg_OB2,  -25.1932,    4.650,   -5.418, 0.000,  -34.307,  -16.079
adrg_OC1,  -24.7983,    4.652,   -5.331, 0.000,  -33.916,  -15.681
adrg_OC2,  -25.2339,    4.724,   -5.342, 0.000,  -34.492,  -15.975
adrg_OD1,  -24.3181,    4.771,   -5.097, 0.000,  -33.670,  -14.967
adrg_OD2,  -22.5317,    4.819,   -4.675, 0.000,  -31.977,  -13.086
adrg_OD3,  -20.5071,    4.653,   -4.408, 0.000,  -29.626,  -11.388
adrg_OE1,  -24.6255,    4.657,   -5.288, 0.000,  -33.753,  -15.498
adrg_OJ1,  -23.1133,    4.771,   -4.845, 0.000,  -32.464,  -13.762
adrg_OR1,  -24.5097,    4.650,   -5.271, 0.000,  -33.623,  -15.396
adrg_OS1,  -14.0174,    4.732,   -2.962, 0.003,  -23.293,   -4.742
adrg_OS2,  -20.3635,    4.658,   -4.372, 0.000,  -29.493,  -11.234
adrg_OT1,  -20.8580,    4.674,   -4.463, 0.000,  -30.018,  -11.698
adrg_OU1,  -22.4950,    4.729,   -4.757, 0.000,  -31.763,  -13.227
adrg_OZ1,  -24.2742,    4.651,   -5.220, 0.000,  -33.389,  -15.159
adrg_PC1,  -23.1103,    4.985,   -4.636, 0.000,  -32.881,  -13.340
adrg_PJ1,  -19.3064,    9.297,   -2.077, 0.038,  -37.528,   -1.085
