,coef,std err,t,P>|t|,[0.025,0.975]
SSCOUNT,-1.0455,0.052,-20.293,0,-1.147,-0.945
LYFS_2,-0.9856,0.257,-3.836,0,-1.489,-0.482
QKDJ1_13,-0.891,0.307,-2.901,0.004,-1.493,-0.289
LYFS_4,-0.7525,0.179,-4.209,0,-1.103,-0.402
grade_3,-0.5329,0.076,-7.056,0,-0.681,-0.385
JBCOUNT,-0.3136,0.014,-22.283,0,-0.341,-0.286
adrg_AG2,-3.71E-13,7.39E-14,-5.017,0,-5.16E-13,-2.26E-13
adrg_TU1,-3.32E-15,3.33E-15,-0.998,0.318,-9.85E-15,3.20E-15
adrg_YR2,-3.22E-16,1.19E-15,-0.27,0.787,-2.66E-15,2.01E-15
QKYHLB1_6,1.50E-17,5.52E-16,0.027,0.978,-1.07E-15,1.10E-15
QKYHLB1_5,2.95E-16,1.70E-15,0.173,0.862,-3.04E-15,3.62E-15
adrg_FC1,5.06E-14,1.55E-14,3.273,0.001,2.03E-14,8.09E-14
adrg_AG1,5.11E-13,7.43E-14,6.88,0,3.66E-13,6.57E-13
SJZYTS,0.0802,0.003,30.151,0,0.075,0.085
NL,0.5586,0.009,59.216,0,0.54,0.577
QKDJ1_10,2.4348,0.904,2.692,0.007,0.662,4.207
QKYHLB1_9,3.2275,0.324,9.949,0,2.592,3.863
QKYHLB1_4,3.9906,0.35,11.391,0,3.304,4.677
Intercept,20.7055,0.139,149.314,0,20.434,20.977
